# N=4096
# cores icc mkl pluto pluto+ancc
  1   0.29   12.87    3.93    8.23 
  2   0.60   25.68    7.76   16.08 
  3   0.87   36.81   10.56   16.45 
  4   1.12   48.77   14.86   31.71 
