#T=1024
# N icc pluto pluto+ancc
  256  0.74  0.97  2.20 
  512  0.74  0.97  2.32 
 1024  0.73  0.97  2.25 
 2048  0.73  0.99  2.25 
 4096  0.73  0.97  2.26 


