# N icc pluto pluto+ancc(rect only) pluto+ancc(rect+non-rect)
 256 2.33 1.40 1.70 2.98
 512 2.27 1.42 1.72 3.78
1024 0.80 1.43 1.56 4.11
2048 0.50 1.44 1.59 4.18
4096 0.49 1.43 1.54 4.16
8192 0.47 0.94 1.05 3.91
